Country,REF_AREA,cluster,investment_cluster,score_fdi,score_banking,score_manuf,score_digital,score_composite
Afghanistan,AFG,3,Tier 3,0.1416845095913478,0.3229520974856852,0.3135649059551806,0.6234237711679894,0.326319
American Samoa,ASM,4,Tier 2,0.270717,0.322312,0.341339,0.623555,0.371839
Andorra,AND,4,Tier 2,0.1387868520051502,0.3276390564811189,0.3646255013520324,0.6235551468585535,0.339413
Angola,AGO,3,Tier 3,0.1494933367186502,0.2887038562817292,0.243460277064801,0.623801129037419,0.302649
Anguilla,AIA,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6233579586152541,0.33401
Argentina,ARG,4,Tier 2,0.1762996665423966,0.4785188275331299,0.3277027964366788,0.6257756013124919,0.3796
Armenia,ARM,4,Tier 2,0.1577726220375548,0.4036289947841843,0.3822988490784285,0.6235262682009284,0.368519
Aruba,ABW,3,Tier 3,0.142537337905402,0.3455467069136769,0.3447102812275943,0.6234516180012218,0.340016
Australia,AUS,4,Tier 2,0.1371561069016798,0.4847780813814373,0.2872319300990212,0.6300540831103664,0.36016
Austria,AUT,1,Tier 1,0.30438,0.50157,0.435552,0.764918,0.478578
Azerbaijan,AZE,3,Tier 3,0.1677283912695013,0.339463382457481,0.3258388612242323,0.6240082207204604,0.341446
"Bahamas, The",BHS,3,Tier 3,0.1370094105243679,0.3268428122401888,0.2453482850021832,0.6235242357554315,0.308855
Bahrain,BHR,4,Tier 2,0.1408677410993624,0.3437753959821775,0.4408205874709325,0.6252951210081369,0.363468
Bangladesh,BGD,2,Tier 4,0.113668,0.2703,0.423104,0.313037,0.270059
Barbados,BRB,3,Tier 3,0.1430307501296926,0.3735027809368775,0.3007987057569156,0.6234175665549779,0.336168
Belarus,BLR,4,Tier 2,0.1407130632659841,0.3210733730122292,0.4340837230878647,0.6441338477061621,0.35983
Belgium,BEL,4,Tier 2,0.2460830102544469,0.3749755132885563,0.3970167242908198,0.6463956021110845,0.396102
Bermuda,BMU,3,Tier 3,0.142537337905402,0.3276390564811189,0.3361908919394896,0.6235256933191776,0.333424
Bhutan,BTN,3,Tier 3,0.1405606643235906,0.3670989115132702,0.3399052378963007,0.6233579350972814,0.343591
Bolivia,BOL,3,Tier 3,0.1531399257212237,0.3439186434183883,0.3021091754646524,0.6234923492565871,0.332147
Botswana,BWA,4,Tier 2,0.1424390722245648,0.2911695989562469,0.4163320759774562,0.6234907874367043,0.344305
Brazil,BRA,4,Tier 2,0.1561439993028341,0.4946310620610424,0.3311865229104531,0.6322562169604046,0.379749
British Virgin Islands,VGB,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6235551468585535,0.33405
Brunei Darussalam,BRN,4,Tier 2,0.1357460062557257,0.3892220350761909,0.39538957006065,0.6234337086096123,0.361563
Bulgaria,BGR,4,Tier 2,0.1462859565297935,0.3365383267697429,0.3982502442298054,0.6245890859143498,0.352501
Burkina Faso,BFA,3,Tier 3,0.1417969655206007,0.2405295178526941,0.2015090619976244,0.623452460781202,0.277739
Burundi,BDI,3,Tier 3,0.1586091545258031,0.2642116229604936,0.1425375721148045,0.6233667481685999,0.273943
Cabo Verde,CPV,3,Tier 3,0.1608644072019699,0.2889153213128528,0.3216262677290957,0.6233696435955751,0.325569
Cambodia,KHM,4,Tier 2,0.1626448974135933,0.4957645594397679,0.4796961048421784,0.6234728890956464,0.417353
Cameroon,CMR,3,Tier 3,0.1409143217669844,0.2706219802770537,0.2498886545679818,0.6235212532235019,0.297106
Canada,CAN,4,Tier 2,0.1738535335194999,0.4546578967934284,0.3443807501321132,0.6473276658554721,0.381381
Cayman Islands,CYM,3,Tier 3,0.142537337905402,0.3424300776568014,0.279104610014904,0.6236167690815902,0.322868
Central African Republic,CAF,3,Tier 3,0.1435180551807819,0.3276390564811189,0.1800804479188902,0.6233576433695059,0.294657
Chad,TCD,3,Tier 3,0.1413788186076305,0.2735553443140875,0.1837577346613826,0.6235290065864101,0.281448
Chile,CHL,3,Tier 3,0.142605418203288,0.3921718897773811,0.3405422311045478,0.6255013330281607,0.35106
China,CHN,1,Tier 1,0.2862037778430534,0.5329200348646054,0.5940563484895782,0.6737533144791525,0.502356
Colombia,COL,4,Tier 2,0.1580811881080361,0.4218521625447258,0.3194864431631512,0.6247903527437251,0.357717
"Congo, Dem. Rep.",COD,3,Tier 3,0.2373143802119557,0.2721968201069631,0.2105076718453662,0.6234695830697952,0.316564
"Congo, Rep.",COG,4,Tier 2,0.1261358543586796,0.2706710249230025,0.3397945054188548,0.6236253241829708,0.315182
Costa Rica,CRI,4,Tier 2,0.142532512606667,0.4004693244356676,0.3980526758539974,0.6247078270552209,0.367332
Cote d'Ivoire,CIV,3,Tier 3,0.1370346792346951,0.2710793877108644,0.2615961572847864,0.6235806026765509,0.298995
Croatia,HRV,4,Tier 2,0.1557349054847571,0.3609089726577623,0.4011279920457302,0.6243288320716889,0.362095
Cuba,CUB,3,Tier 3,0.142537337905402,0.3276390564811189,0.312881355508374,0.6235551468585535,0.327602
Curacao,CUW,3,Tier 3,0.142537337905402,0.351764784895647,0.2986286621855566,0.6234450434870877,0.330049
Cyprus,CYP,3,Tier 3,0.1439764826861538,0.3696845652139942,0.3295760869177919,0.6271150016060891,0.343431
Czech Republic,CZE,1,Tier 1,0.244788,0.445403,0.524489,0.708424,0.457594
Czechia,CZE,4,Tier 2,0.1513887812194299,0.3544546239953761,0.4980824868701428,0.6276909656810333,0.384089
Denmark,DNK,1,Tier 1,0.339859,0.519002,0.363093,0.890274,0.500536
Djibouti,DJI,4,Tier 2,0.1404713150904186,0.2914699110858513,0.3807281032955549,0.6233702149938577,0.334865
Dominica,DMA,3,Tier 3,0.1524444581074344,0.3299493354301817,0.3234225488343713,0.6233659499743963,0.333749
Ecuador,ECU,3,Tier 3,0.1501535284775121,0.3491838477568973,0.2942492568043768,0.7893880876823686,0.363782
"Egypt, Arab Rep.",EGY,4,Tier 2,0.16459246457388,0.37453842658336,0.3980408274993455,0.6249810275509977,0.367519
El Salvador,SLV,4,Tier 2,0.1909063812591274,0.3769844198268974,0.3731302549414164,0.623585320304138,0.369518
Equatorial Guinea,GNQ,4,Tier 2,0.1436572456737889,0.2442767268826397,0.3314813358338536,0.6234231134562734,0.311721
Eswatini,SWZ,4,Tier 2,0.14480097518704,0.2926655495650472,0.5269422800919599,0.623377815531416,0.373018
Faroe Islands,FRO,3,Tier 3,0.142537337905402,0.3276390564811189,0.3427428934148991,0.6233766224320136,0.335032
Fiji,FJI,4,Tier 2,0.1534173907773797,0.4285228073846789,0.2847084982703029,0.6233794413714333,0.349009
Finland,FIN,4,Tier 2,0.1717252792185375,0.3317752111952772,0.3933462476665164,0.6302036768751699,0.358839
France,FRA,4,Tier 2,0.2195756590265746,0.3536107221227516,0.3903852551517071,0.6671566992418018,0.385303
French Polynesia,PYF,4,Tier 2,0.142537337905402,0.3276390564811189,0.3760557459720184,0.6233711778138705,0.343359
Gabon,GAB,4,Tier 2,0.1422510675944051,0.2317304092135971,0.4357325232095088,0.6234741419236969,0.334236
Georgia,GEO,4,Tier 2,0.172798337571941,0.4364877653340827,0.336214714088776,0.6235564302710966,0.369726
Germany,DEU,1,Tier 1,0.375034,0.536346,0.52467,0.8185,0.541464
Ghana,GHA,3,Tier 3,0.1548818245262806,0.3548076713098504,0.2831218114868498,0.625129402365668,0.330973
Gibraltar,GIB,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6235551468585535,0.33405
Greece,GRC,3,Tier 3,0.1358406234694679,0.3502068942900839,0.3370567238083869,0.6250058835432794,0.337569
Greenland,GRL,3,Tier 3,0.142537337905402,0.3276390564811189,0.2843501107388589,0.6235551468585535,0.32047
Guam,GUM,3,Tier 3,0.142537337905402,0.3276390564811189,0.3396807335817096,0.6235551468585535,0.334302
Guinea,GIN,3,Tier 3,0.1490005517491477,0.2647060405273814,0.2711034603324165,0.6234145163469008,0.303335
Guyana,GUY,4,Tier 2,0.1454707410594197,0.3177573371262189,0.4321139734441594,0.6234308309835489,0.355795
Haiti,HTI,3,Tier 3,0.1935242955544768,0.2895572120356808,0.3047865333155665,0.6233718289666003,0.331318
Honduras,HND,4,Tier 2,0.1980045046439406,0.405264125598108,0.3445358847081369,0.6235259112981397,0.371557
"Hong Kong SAR, China",HKG,4,Tier 2,0.142537337905402,0.5382149645268863,0.4016121689018287,0.6325323991924204,0.404224
Hungary,HUN,4,Tier 2,0.1506292481072926,0.3947552104617707,0.455028784950158,0.6267655131223933,0.382988
Iceland,ISL,4,Tier 2,0.1548847653310053,0.4022820023994023,0.2816939136290636,0.6237464438588043,0.342209
India,IND,4,Tier 2,0.2409402703817756,0.3622523234414585,0.4112888978978594,0.6664940053014174,0.398966
Indonesia,IDN,4,Tier 2,0.1785892839151067,0.3374158013705474,0.3958821425000873,0.629552690302557,0.362812
"Iran, Islamic Rep.",IRN,1,Tier 1,0.2987259165315652,0.4279902436439837,0.4443838741161721,0.623817244084086,0.432475
