Country,cluster,cluster_name,score_fdi,score_banking,score_manuf,score_digital
Netherlands,2,Tier A – High Attractiveness,0.4166543333333333,0.50986475,0.42228991666666665,0.61439
United States,2,Tier A – High Attractiveness,0.3468445,0.49558091666666665,0.3493370416666666,0.658818875
United Kingdom,2,Tier A – High Attractiveness,0.24632272327460347,0.4489771565106984,0.36807467844296277,0.643509855909272
Denmark,2,Tier A – High Attractiveness,0.2913499583333333,0.4699844166666667,0.37167258333333336,0.63816775
Germany,2,Tier A – High Attractiveness,0.3495747083333333,0.49071337500000006,0.534918,0.5603722916666667
Georgia,0,Tier B – Moderate-High,0.22232650993731973,0.3810847081620324,0.34094252099070027,0.4018877563500334
France,0,Tier B – Moderate-High,0.24261905375104229,0.3280103814850251,0.39770270245777173,0.44482294677996403
Switzerland,0,Tier B – Moderate-High,0.2208862473244915,0.3902417865422671,0.41672176247416476,0.43640322401475534
El Salvador,0,Tier B – Moderate-High,0.23893065404824554,0.36840066295987145,0.37206958394173806,0.40194333862728876
"Iran, Islamic Rep.",0,Tier B – Moderate-High,0.27414894651986027,0.3595922135098318,0.4187214046761159,0.40244686476646163
New Zealand,0,Tier B – Moderate-High,0.1903050151249135,0.5105535865502742,0.31207111389030867,0.40345076482799597
Turkiye,0,Tier B – Moderate-High,0.2083058557023286,0.4020608930507435,0.44202432197475083,0.40375043811516154
Cyprus,0,Tier B – Moderate-High,0.22349297169310767,0.3984313039420513,0.33480556666850125,0.3721079644839797
Croatia,0,Tier B – Moderate-High,0.2045112868794072,0.3971699738225742,0.41590143866561674,0.4136372596981597
Norway,0,Tier B – Moderate-High,0.19735589918220117,0.3979362755452434,0.31899367035065757,0.40852999455809824
Sweden,0,Tier B – Moderate-High,0.20671418124070703,0.36982891438496396,0.3999205611075858,0.48705325172636543
Mongolia,0,Tier B – Moderate-High,0.22632603368105306,0.39088013047514875,0.3081269589196187,0.3974182292518909
Mexico,0,Tier B – Moderate-High,0.24224829453954522,0.34765105893665577,0.4238106397699237,0.38902151494920273
