country,pillar,direction,years_applicable,t5_magnitude,did_mean,blended_magnitude,ci_lower_95,ci_upper_95,confidence,blend_method,tier_v2,source,policy_name,is_task9
Netherlands,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"Dutch Ministry of Finance, Fiscal Policy Announcement 2023",Corporate Income Tax Increase to 25%,False
Netherlands,Banking,negative,2024-2025,-8.0,1.32,-5.2,1.1,1.55,High,T5(70%) + DiD(30%),High,"European Central Bank, Monetary Policy Decisions 2023-2024",ECB Rate Hikes 2023-2024,False
Netherlands,Manufacturing,positive,2024-2027,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Ministry of Economic Affairs and Climate Policy, Press Release 2023",National Growth Fund for Green Industry,False
Netherlands,Digital,positive,2024-2027,10.0,1.9,7.57,1.66,2.14,High,T5(70%) + DiD(30%),High,"Dutch Government, National AI Strategy Document 2023",National AI Strategy 2023,False
Denmark,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"Danish National Bank press releases, June 2023 and October 2023",Danish National Bank Rate Hikes 2023-2024,False
Denmark,FDI,negative,2024-2025,-12.0,4.73,-1.96,4.45,5.0,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2023 – Denmark chapter,FDI Inflow Decline 2023 (UNCTAD),False
Denmark,Manufacturing,positive,2024-2027,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Ministry of Industry, Business and Financial Affairs – policy brief 2023",Strategic Industry Initiative 2023,False
Denmark,Digital,positive,2024-2027,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,World Bank Country Overview – Denmark (2023) – Investment Climate Assessment,Digital Growth Strategy 2024‑2027,False
Germany,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"ECB Press Release, July 2023 & March 2024",ECB Rate Hikes 2023-2024,False
Germany,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD World Investment Report 2023, Germany chapter",UNCTAD FDI Decline 2023,False
Germany,Manufacturing,positive,2024-2027,9.0,-1.92,5.72,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"German Ministry of Economics, ""Semiconductor Strategy Germany"" 2023",German Semiconductor Strategy 2023,False
Germany,Digital,positive,2024-2027,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"Federal Ministry for Digital and Transport, ""Digital Strategy 2025"" 2023",Digital Strategy 2025,False
Austria,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"OeNB Press Release, 2023‑12‑14",ECB Rate Hikes Alignment,False
Austria,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023 – Austria Chapter,FDI Inflow Decline,False
Austria,Manufacturing,positive,2024-2027,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"IMF Article IV Consultation – Austria, 2023",Industrial Strategy 2025,False
Austria,Digital,positive,2024-2027,5.0,1.9,3.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"World Bank Country Overview – Austria, 2024",Digital Austria Initiative,False
Czech Republic,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"Czech National Bank, Press Release March 2024",Czech National Bank Rate Hikes 2023‑2024,False
Czech Republic,Manufacturing,positive,2024-2027,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Ministry of Industry and Trade, ""Industry 2030"" strategy (2023)",Industry 2030 Strategy,False
