country,year,composite_v1,composite_v2,tier_v1,tier_v2
Afghanistan,2024,0.35970035,0.509636904,Medium,High
Afghanistan,2025,0.3652592,0.521882746,High,High
Afghanistan,2026,0.37080305,0.5340953399999999,High,High
Afghanistan,2027,0.3763464,0.5463076979999999,High,High
American Samoa,2024,0.36881189999999997,0.51337651,High,High
American Samoa,2025,0.3737314,0.5253892299999999,High,High
American Samoa,2026,0.37863769999999997,0.53736997,High,High
American Samoa,2027,0.3835441,0.5493501219999999,High,High
Andorra,2024,0.3705097,0.5221101539999999,High,High
Andorra,2025,0.3757159,0.534671818,High,High
Andorra,2026,0.38090735,0.547198392,High,High
Andorra,2027,0.38609895,0.559725618,High,High
Angola,2024,0.3127795,0.48905755399999995,Medium,High
Angola,2025,0.31455485,0.49972760999999993,Medium,High
Angola,2026,0.3163249,0.510368426,Medium,High
Angola,2027,0.31809495,0.5210092059999999,Medium,High
Anguilla,2024,0.36206119999999997,0.5109382779999999,High,High
Anguilla,2025,0.36696465,0.5229724179999999,High,High
Anguilla,2026,0.37185435,0.53497363,High,High
Anguilla,2027,0.37674435,0.546974948,High,High
Argentina,2024,0.40983065,0.5370535399999999,High,High
Argentina,2025,0.41699200000000003,0.5503082119999999,High,High
Argentina,2026,0.42413449999999997,0.563526624,High,High
Argentina,2027,0.4312767,0.576744894,High,High
Armenia,2024,0.4021175,0.52926588,High,High
Armenia,2025,0.4076734,0.541584526,High,High
Armenia,2026,0.41321465,0.55386982,High,High
Armenia,2027,0.4187556,0.566155008,High,High
Aruba,2024,0.3570078,0.50942966,Medium,High
Aruba,2025,0.3615286,0.5212923139999999,Medium,High
Aruba,2026,0.36603645,0.53312189,High,High
Aruba,2027,0.37054505,0.54495233,High,High
Australia,2024,0.3950388,0.5433510539999999,High,High
Australia,2025,0.4002706,0.556056178,High,High
Australia,2026,0.4054878,0.568725664,High,High
Australia,2027,0.41070520000000005,0.581395808,High,High
Austria,2024,0.48849865000000003,0.677029008,High,High
Austria,2025,0.49482085,0.6932616119999999,High,High
Austria,2026,0.5011257,0.7094493719999999,High,High
Austria,2027,0.50743055,0.72563766,High,High
Azerbaijan,2024,0.34205655,0.435691948,Medium,High
Azerbaijan,2025,0.34634750000000003,0.4452193199999999,Medium,High
Azerbaijan,2026,0.35062665,0.454720232,Medium,High
Azerbaijan,2027,0.35490605,0.4642212799999999,Medium,High
"Bahamas, The",2024,0.35154799999999997,0.507244014,Medium,High
"Bahamas, The",2025,0.3561129,0.519128262,Medium,High
"Bahamas, The",2026,0.3606651,0.53098006,Medium,High
"Bahamas, The",2027,0.36521735,0.5428318639999999,High,High
Bahrain,2024,0.38886960000000004,0.523575288,High,High
Bahrain,2025,0.39477445,0.5360809019999999,High,High
Bahrain,2026,0.40066375,0.548552356,High,High
Bahrain,2027,0.40655275,0.561024232,High,High
Bangladesh,2024,0.2822856,0.31304215599999996,Low,Medium
Bangladesh,2025,0.2885232,0.323265364,Low,Medium
Bangladesh,2026,0.2947437,0.33346049599999994,Medium,Medium
Bangladesh,2027,0.30096465,0.34365642199999996,Medium,Medium
Barbados,2024,0.3721727,0.5169768899999999,High,High
Barbados,2025,0.37686155,0.528916996,High,High
Barbados,2026,0.38153695,0.5408243159999999,High,High
Barbados,2027,0.38621285,0.552731872,High,High
Belarus,2024,0.3911928,0.54743959,High,High
Belarus,2025,0.3953543,0.5604727939999999,High,High
Belarus,2026,0.3995046,0.57347066,High,High
Belarus,2027,0.40365495,0.5864685319999999,High,High
Belgium,2024,0.39565925,0.543152694,High,High
Belgium,2025,0.39902075000000004,0.5519677179999999,High,High
Belgium,2026,0.4023735,0.560759108,High,High
Belgium,2027,0.40572600000000003,0.569550362,High,High
Bermuda,2024,0.35701170000000004,0.5090571979999999,Medium,High
Bermuda,2025,0.3620465,0.521145612,High,High
Bermuda,2026,0.3670666,0.5332001399999999,High,High
Bermuda,2027,0.37208725,0.545254874,High,High
Bhutan,2024,0.3846541,0.521146888,High,High
Bhutan,2025,0.39134965,0.53389747,High,High
Bhutan,2026,0.39802669999999996,0.5466127319999999,High,High
Bhutan,2027,0.40470405000000004,0.5593281,High,High
Bolivia,2024,0.36602605,0.504188562,High,High
Bolivia,2025,0.37177955,0.5161542299999999,High,High
Bolivia,2026,0.37751704999999997,0.528087232,High,High
Bolivia,2027,0.3832543,0.540020098,High,High
Botswana,2024,0.37219995,0.513318464,High,High
Botswana,2025,0.37671679999999996,0.5250617639999999,High,High
Botswana,2026,0.3812213,0.5367731219999999,High,High
Botswana,2027,0.3857261,0.5484845859999999,High,High
Brazil,2024,0.40315805,0.539445976,High,High
Brazil,2025,0.4071036,0.551199802,High,High
Brazil,2026,0.41103855,0.562922062,High,High
Brazil,2027,0.4149735,0.5746443219999999,High,High
British Virgin Islands,2024,0.3621078,0.511117602,High,High
British Virgin Islands,2025,0.36700750000000004,0.523153132,High,High
British Virgin Islands,2026,0.3718934,0.5351562919999999,High,High
British Virgin Islands,2027,0.3767794,0.5471588999999999,High,High
Brunei Darussalam,2024,0.3882224,0.5216532079999999,High,High
Brunei Darussalam,2025,0.395389,0.5364114139999999,High,High
