REF_AREA,Country,Year,score_fdi,score_banking,score_manuf,score_digital,score_composite
AFG,Afghanistan,2024,0.236084,0.339149,0.322438,0.617392,0.3597
AFG,Afghanistan,2025,0.238394,0.341117,0.326115,0.634665,0.365259
AFG,Afghanistan,2026,0.240697,0.34308,0.329783,0.651891,0.370803
AFG,Afghanistan,2027,0.243,0.345042,0.33345,0.669117,0.376347
ASM,American Samoa,2024,0.246797,0.342871,0.342153,0.617584,0.368812
ASM,American Samoa,2025,0.250329,0.345798,0.34084,0.634866,0.373732
ASM,American Samoa,2026,0.253851,0.348718,0.33953,0.652102,0.378638
ASM,American Samoa,2027,0.257374,0.351637,0.338221,0.669337,0.383544
AND,Andorra,2024,0.221434,0.34624,0.365522,0.630695,0.37051
AND,Andorra,2025,0.223546,0.349503,0.366167,0.648673,0.375716
AND,Andorra,2026,0.225653,0.352756,0.366809,0.666601,0.380907
AND,Andorra,2027,0.227759,0.356009,0.367452,0.68453,0.386099
AGO,Angola,2024,0.203747,0.257001,0.254747,0.618592,0.31278
AGO,Angola,2025,0.200911,0.255572,0.252879,0.635844,0.314555
AGO,Angola,2026,0.198082,0.254147,0.251015,0.653049,0.316325
AGO,Angola,2027,0.195253,0.252721,0.249152,0.670254,0.318095
AIA,Anguilla,2024,0.225265,0.34624,0.337842,0.617306,0.362061
AIA,Anguilla,2025,0.227466,0.349503,0.33773,0.634583,0.366965
AIA,Anguilla,2026,0.22966,0.352756,0.337619,0.651813,0.371854
AIA,Anguilla,2027,0.231855,0.356009,0.337508,0.669043,0.376744
ARG,Argentina,2024,0.265115,0.505959,0.318868,0.620447,0.40983
ARG,Argentina,2025,0.269367,0.517824,0.316674,0.637787,0.416992
ARG,Argentina,2026,0.273609,0.529658,0.314486,0.655079,0.424134
ARG,Argentina,2027,0.27785,0.541491,0.312299,0.672371,0.431277
ARM,Armenia,2024,0.259576,0.421526,0.381504,0.617436,0.402117
ARM,Armenia,2025,0.262,0.425465,0.383055,0.634717,0.407674
ARM,Armenia,2026,0.264419,0.429393,0.384602,0.651951,0.413215
ARM,Armenia,2027,0.266837,0.433321,0.386149,0.669185,0.418756
ABW,Aruba,2024,0.225265,0.358508,0.305262,0.617429,0.357008
ABW,Aruba,2025,0.227466,0.361211,0.304177,0.634709,0.361529
ABW,Aruba,2026,0.22966,0.363907,0.303094,0.651941,0.366037
ABW,Aruba,2027,0.231855,0.366603,0.302012,0.669174,0.370545
AUS,Australia,2024,0.226825,0.515552,0.28037,0.640054,0.395039
AUS,Australia,2025,0.229683,0.520012,0.278886,0.658206,0.40027
AUS,Australia,2026,0.232533,0.52446,0.277406,0.676307,0.405488
AUS,Australia,2027,0.235383,0.528908,0.275926,0.694409,0.410705
AUT,Austria,2024,0.301146,0.508083,0.437402,0.808918,0.488499
AUT,Austria,2025,0.303624,0.512657,0.436356,0.832402,0.494821
AUT,Austria,2026,0.306095,0.517219,0.435313,0.855821,0.501126
AUT,Austria,2027,0.308567,0.52178,0.434269,0.879241,0.50743
AZE,Azerbaijan,2024,0.238749,0.3419,0.338577,0.501563,0.342056
AZE,Azerbaijan,2025,0.24007,0.345895,0.339523,0.51486,0.346347
AZE,Azerbaijan,2026,0.241388,0.349879,0.340466,0.52812,0.350627
AZE,Azerbaijan,2027,0.242706,0.353864,0.341409,0.54138,0.354906
